"","x"
"1","Follow the Bitch (1998)"
"2","Smashing Time (1967)"
"3","General, The (1927)"
"4","Monty Python and the Holy Grail (1974)"
"5","Palm Beach Story, The (1942)"
"6","It Happened One Night (1934)"
"7","Window to Paris (1994)"
"8","Ed's Next Move (1996)"
"9","His Girl Friday (1940)"
"10","Modern Times (1936)"
"11","Gold Rush, The (1925)"
"12","Bringing Up Baby (1938)"
"13","Harold and Maude (1971)"
"14","Waiting for Guffman (1996)"
"15","And Now for Something Completely Different (1971)"
"16","Shall We Dance? (Shall We Dansu?) (1996)"
"17","Being John Malkovich (1999)"
"18","Ferris Bueller's Day Off (1986)"
"19","My Man Godfrey (1936)"
"20","Sullivan's Travels (1942)"
"21","Harvey (1950)"
"22","Best in Show (2000)"
"23","Animal House (1978)"
"24","Kolya (1996)"
"25","Take the Money and Run (1969)"
"26","Crimes and Misdemeanors (1989)"
"27","Born Yesterday (1950)"
"28","Odd Couple, The (1968)"
"29","Great Dictator, The (1940)"
"30","Tampopo (1986)"
"31","Love and Death (1975)"
"32","Raising Arizona (1987)"
"33","Monty Python's Life of Brian (1979)"
"34","Being There (1979)"
"35","You Can't Take It With You (1938)"
"36","Mouth to Mouth (Boca a boca) (1995)"
"37","Local Hero (1983)"
"38","With Friends Like These... (1998)"
"39","Man of the Century (1999)"
"40","Where's Marlowe? (1999)"
"41","Seven Chances (1925)"
"42","Smoking/No Smoking (1993)"
"43","Bank Dick, The (1940)"
"44","Women, The (1939)"
"45","Fish Called Wanda, A (1988)"
"46","Airplane! (1980)"
"47","Sum of Us, The (1994)"
"48","Circus, The (1928)"
"49","My Man Godfrey (1957)"
"50","I'm the One That I Want (2000)"
"51","Clerks (1994)"
"52","Election (1999)"
"53","High Fidelity (2000)"
"54","In the Bleak Midwinter (1995)"
"55","Better Off Dead... (1985)"
"56","Living in Oblivion (1995)"
"57","Pushing Hands (1992)"
"58","Ruling Class, The (1972)"
"59","There's Something About Mary (1998)"
"60","Happiness (1998)"
"61","My Favorite Year (1982)"
"62","Castle, The (1997)"
"63","Bewegte Mann, Der (1994)"
"64","Waking Ned Devine (1998)"
"65","Specials, The (2000)"
"66","Full Monty, The (1997)"
"67","Bottle Rocket (1996)"
"68","Tom Jones (1963)"
"69","Shower (Xizhao) (1999)"
"70","Stranger Than Paradise (1984)"
"71","Caddyshack (1980)"
"72","Vacation (1983)"
"73","Rushmore (1998)"
"74","Hear My Song (1991)"
"75","Stripes (1981)"
"76","Fast Times at Ridgemont High (1982)"
