"","x"
"1","North by Northwest (1959)"
"2","Silence of the Lambs, The (1991)"
"3","Some Folks Call It a Sling Blade (1993)"
"4","Sling Blade (1996)"
"5","Taxi Driver (1976)"
"6","Green Mile, The (1999)"
"7","Outside Ozona (1998)"
"8","Spanish Prisoner, The (1997)"
"9","Primal Fear (1996)"
"10","I Can't Sleep (J'ai pas sommeil) (1994)"
"11","Casino (1995)"
"12","Contender, The (2000)"
"13","Frequency (2000)"
"14","Bad Seed, The (1956)"
"15","Phantom of the Opera, The (1943)"
"16","What Ever Happened to Baby Jane? (1962)"
"17","...And Justice for All (1979)"
"18","Last Supper, The (1995)"
"19","Murder in the First (1995)"
"20","Firm, The (1993)"
"21","Death and the Maiden (1994)"
"22","Niagara (1953)"
"23","Ransom (1996)"
"24","Dolores Claiborne (1994)"
"25","Betrayed (1988)"
"26","Cutter's Way (1981)"
"27","Kalifornia (1993)"
"28","Caught (1996)"
"29","Rules of Engagement (2000)"
"30","Dead Ringers (1988)"
"31","Final Destination (2000)"
"32","Extremities (1986)"
"33","Disclosure (1994)"
"34","General's Daughter, The (1999)"
"35","Instinct (1999)"
"36","White Sands (1992)"
"37","Apt Pupil (1998)"
"38","Silent Fall (1994)"
"39","City Hall (1996)"
"40","Eye for an Eye (1996)"
"41","Resurrection Man (1998)"
"42","Shattered Image (1998)"
"43","Gingerbread Man, The (1998)"
"44","Extreme Measures (1996)"
"45","End of Violence, The (1997)"
"46","Raise the Titanic (1980)"
"47","Gossip (2000)"
"48","Crash (1996)"
"49","Public Access (1993)"
"50","Trigger Effect, The (1996)"
"51","Diabolique (1996)"
"52","Loaded (1994)"
"53","Color of Night (1994)"
"54","Babysitter, The (1995)"
"55","Juror, The (1996)"
"56","Volcano (1997)"
"57","Mary Reilly (1996)"
"58","Rollercoaster (1977)"
"59","Gloria (1999)"
"60","Love Walked In (1998)"
"61","Bloody Child, The (1996)"
"62","Ratchet (1996)"
"63","Buddy Boy (1999)"
