"","x"
"1","Baby, The (1973)"
"2","Shining, The (1980)"
"3","Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)"
"4","Frankenstein (1931)"
"5","Exorcist, The (1973)"
"6","Bride of Frankenstein (1935)"
"7","Birds, The (1963)"
"8","Dracula (1931)"
"9","Misery (1990)"
"10","Wolf Man, The (1941)"
"11","American Werewolf in London, An (1981)"
"12","Halloween (1978)"
"13","Omen, The (1976)"
"14","Carrie (1976)"
"15","Body Snatcher, The (1945)"
"16","Pit and the Pendulum (1961)"
"17","Nightmare on Elm Street, A (1984)"
"18","Re-Animator (1985)"
"19","Hunger, The (1983)"
"20","Eyes Without a Face (1959)"
"21","Dracula (1958)"
"22","Vampyros Lesbos (Las Vampiras) (1970)"
"23","Son of Frankenstein (1939)"
"24","Black Sabbath (Tre Volti Della Paura, I) (1963)"
"25","Two Thousand Maniacs! (1964)"
"26","Howling, The (1980)"
"27","Creature From the Black Lagoon, The (1954)"
"28","Mummy, The (1959)"
"29","House on Haunted Hill (1958)"
"30","Texas Chainsaw Massacre, The (1974)"
"31","Spirits of the Dead (Tre Passi nel Delirio) (1968)"
"32","Prophecy, The (1995)"
"33","Masque of the Red Death, The (1964)"
"34","House of Frankenstein (1944)"
"35","Cat People (1982)"
"36","Audrey Rose (1977)"
"37","Tingler, The (1959)"
"38","Creepshow (1982)"
"39","Frankenstein Meets the Wolf Man (1943)"
"40","Cronos (1992)"
"41","Tales From the Crypt Presents: Demon Knight (1995)"
"42","Hellraiser (1987)"
"43","Nosferatu a Venezia (1986)"
"44","Christine (1983)"
"45","Friday the 13th (1980)"
"46","Tales of Terror (1962)"
"47","Mummy's Curse, The (1944)"
"48","Blair Witch Project, The (1999)"
"49","Addiction, The (1995)"
"50","Inferno (1980)"
"51","City of the Living Dead (Paura nella città dei morti viventi) (1980)"
"52","Make Them Die Slowly (Cannibal Ferox) (1980)"
"53","Kronos (1973)"
"54","Damien: Omen II (1978)"
"55","Fury, The (1978)"
"56","Pet Sematary (1989)"
