"","x"
"1","Hour of the Pig, The (1993)"
"2","Conversation, The (1974)"
"3","Anatomy of a Murder (1959)"
"4","In the Heat of the Night (1967)"
"5","Lone Star (1996)"
"6","Red Violin, The (Le Violon rouge) (1998)"
"7","Picnic at Hanging Rock (1975)"
"8","Blowup (1966)"
"9","Klute (1971)"
"10","Blue Velvet (1986)"
"11","JFK (1991)"
"12","Agnes of God (1985)"
"13","Rapture, The (1991)"
"14","Morning After, The (1986)"
"15","Minus Man, The (1999)"
"16","Before and After (1996)"
"17","Twin Peaks: Fire Walk with Me (1992)"
"18","Confessional, The (Le Confessionnal) (1995)"
