"","x"
"1","Lured (1947)"
"2","Clean Slate (Coup de Torchon) (1981)"
"3","Long Goodbye, The (1973)"
"4","Go (1999)"
"5","Freeway (1996)"
"6","Young Poisoner's Handbook, The (1995)"
"7","General, The (1998)"
"8","Monument Ave. (1998)"
"9","Clay Pigeons (1998)"
"10","Gridlock'd (1997)"
"11","Coogan's Bluff (1968)"
"12","2 Days in the Valley (1996)"
"13","Opportunists, The (1999)"
"14","Deceiver (1997)"
"15","Under Suspicion (2000)"
"16","Kansas City (1996)"
"17","Curdled (1996)"
"18","Original Gangstas (1996)"
"19","Switchblade Sisters (1975)"
"20","Gang Related (1997)"
"21","Keys to Tulsa (1997)"
"22","Mad Dog Time (1996)"
"23","Innocent Sleep, The (1995)"
"24","Big Bang Theory, The (1994)"
"25","Caught Up (1998)"
"26","Any Number Can Win (Mélodie en sous-sol ) (1963)"
