"","x"
"1","Gate of Heavenly Peace, The (1995)"
"2","Bittersweet Motel (2000)"
"3","For All Mankind (1989)"
"4","Return with Honor (1998)"
"5","Jupiter's Wife (1994)"
"6","When We Were Kings (1996)"
"7","Decline of Western Civilization, The (1981)"
"8","Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993)"
"9","Thin Blue Line, The (1988)"
"10","Stop Making Sense (1984)"
"11","War Room, The (1993)"
"12","42 Up (1998)"
"13","Paradise Lost: The Child Murders at Robin Hood Hills (1996)"
"14","Hoop Dreams (1994)"
"15","Hands on a Hard Body (1996)"
"16","Ayn Rand: A Sense of Life (1997)"
"17","Great Day in Harlem, A (1994)"
"18","Maya Lin: A Strong Clear Vision (1994)"
"19","Anne Frank Remembered (1995)"
"20","Microcosmos (Microcosmos: Le peuple de l'herbe) (1996)"
"21","Crumb (1994)"
"22","Buena Vista Social Club (1999)"
"23","Celluloid Closet, The (1995)"
"24","Brandon Teena Story, The (1998)"
"25","Paris Is Burning (1990)"
"26","American Movie (1999)"
"27","Everest (1998)"
"28","Sonic Outlaws (1995)"
"29","Frank and Ollie (1995)"
"30","Message to Love: The Isle of Wight Festival (1996)"
"31","Rhyme & Reason (1997)"
"32","Dear Jesse (1997)"
"33","Modulations (1998)"
"34","Last Days, The (1998)"
"35","Five Wives, Three Secretaries and Me (1998)"
"36","Regret to Inform (1998)"
"37","Mr. Death: The Rise and Fall of Fred A. Leuchter Jr. (1999)"
"38","Cruise, The (1998)"
"39","Decline of Western Civilization Part II: The Metal Years, The (1988)"
"40","On the Ropes (1999)"
"41","My Best Fiend (Mein liebster Feind) (1999)"
"42","Arguing the World (1996)"
"43","Baraka (1992)"
"44","Eyes of Tammy Faye, The (2000)"
"45","Dadetown (1995)"
"46","Trekkies (1997)"
"47","Fast, Cheap & Out of Control (1997)"
"48","Filth and the Fury, The (2000)"
"49","Thirty-Two Short Films About Glenn Gould (1993)"
"50","Haunted World of Edward D. Wood Jr., The (1995)"
"51","Better Living Through Circuitry (1999)"
"52","Endless Summer, The (1966)"
"53","Marcello Mastroianni: I Remember Yes, I Remember (1997)"
"54","Nico Icon (1995)"
"55","Brother Minister: The Assassination of Malcolm X (1994)"
"56","Small Wonders (1996)"
"57","Line King: Al Hirschfeld, The (1996)"
"58","Saltmen of Tibet, The (1997)"
"59","Brother, Can You Spare a Dime? (1975)"
"60","Perfect Candidate, A (1996)"
"61","American Dream (1990)"
"62","Life and Times of Hank Greenberg, The (1998)"
"63","Unzipped (1995)"
"64","Synthetic Pleasures (1995)"
"65","Source, The (1999)"
"66","Dancemaker (1998)"
"67","Full Tilt Boogie (1997)"
"68","Hype! (1996)"
"69","Wild Man Blues (1998)"
"70","Beyond the Mat (2000)"
"71","Across the Sea of Time (1995)"
"72","Last Klezmer: Leopold Kozlowski, His Life and Music, The (1995)"
"73","Wonderland (1997)"
"74","Paralyzing Fear: The Story of Polio in America, A (1998)"
"75","Home Page (1999)"
"76","Black Tar Heroin: The Dark End of the Street (1999)"
"77","Ballad of Ramblin' Jack, The (2000)"
"78","Heidi Fleiss: Hollywood Madam (1995)"
"79","On Any Sunday (1971)"
"80","Get Bruce (1999)"
"81","Endless Summer 2, The (1994)"
"82","American Pimp (1999)"
"83","From the Journals of Jean Seberg (1995)"
"84","Marlene Dietrich: Shadow and Light (1996)"
"85","Year of the Horse (1997)"
"86","Madonna: Truth or Dare (1991)"
"87","Grateful Dead (1995)"
"88","Man of the Year (1995)"
"89","Show, The (1995)"
"90","Carmen Miranda: Bananas Is My Business (1994)"
"91","James Dean Story, The (1957)"
"92","Back Stage (2000)"
"93","Barenaked in America (1999)"
"94","Catwalk (1995)"
"95","Snowriders (1996)"
"96","Paris Was a Woman (1995)"
"97","Hippie Revolution, The (1996)"
"98","With Byrd at the South Pole (1930)"
"99","Kestrel's Eye (Falkens öga) (1998)"
"100","Criminals (1996)"
"101","Eye of Vichy, The (Oeil de Vichy, L') (1993)"
"102","War Stories (1995)"
"103","Leopard Son, The (1996)"
"104","Prerokbe Ognja (1995)"
"105","Plutonium Circus (1995)"
"106","Kids of Survival (1993)"
"107","Tickle in the Heart, A (1996)"
"108","Fire on the Mountain (1996)"
"109","Unforgotten: Twenty-Five Years After Willowbrook (1996)"
"110","Century of Cinema, A (1994)"
"111","Photographer (Fotoamator) (1998)"
"112","Let it Come Down: The Life of Paul Bowles (1998)"
"113","Creature (1999)"
"114","Hellhounds on My Trail (1999)"
"115","Gendernauts (1999)"
"116","Condo Painting (2000)"
